Timestamp,Solar,New demand,Battery,Grid
01-01-2024 00:00:00,9565.36,18729.126,2413,6750.766
01-01-2024 01:00:00,9047.01,19499.549,2374,8078.539
01-01-2024 02:00:00,8261.27,17734.278,2399,7074.008
01-01-2024 03:00:00,7885.82,17106.651,1705,7515.831
01-01-2024 04:00:00,7450.73,18666.577,1606,9609.847
01-01-2024 05:00:00,6801.42,19609.668,2963,9845.248
01-01-2024 06:00:00,6015.99,20406.348,2399,11991.358
01-01-2024 07:00:00,7193.56,22756.335,2296,13266.775
01-01-2024 08:00:00,14671.94,23950.024,2014,7264.084
01-01-2024 09:00:00,22857.17,24331.027,2737,-1263.143
01-01-2024 10:00:00,29593.08,25336.244,2241,-6497.836
01-01-2024 11:00:00,35473.63,25146.236,1999,-12326.394
01-01-2024 12:00:00,39445.89,23787.057,1763,-17421.833
01-01-2024 13:00:00,40713.17,22981.129,2371,-20103.041
01-01-2024 14:00:00,37521.36,23468.657,2285,-16337.703
01-01-2024 15:00:00,29162.74,23860.147,2730,-8032.593
01-01-2024 16:00:00,16834.97,23248.79,2489,3924.82
01-01-2024 17:00:00,5867,22822.675,1737,15218.675
01-01-2024 18:00:00,4361.76,22176.205,2481,15333.445
01-01-2024 19:00:00,6148.58,22299.045,2026,14124.465
01-01-2024 20:00:00,7786.58,20778.31,2147,10844.73
01-01-2024 21:00:00,8844.53,19152.088,1576,8731.558
01-01-2024 22:00:00,9061.89,19007.341,2887,7058.451
01-01-2024 23:00:00,9231.53,17999.792,2870,5898.262
02-01-2024 00:00:00,8985.84,19031.314,1825,8220.474
02-01-2024 01:00:00,8477.42,18614.354,2233,7903.934
02-01-2024 02:00:00,7562.62,18627.551,2878,8186.931
02-01-2024 03:00:00,6803.6,17426.146,1602,9020.546
02-01-2024 04:00:00,6498.46,18113.182,1551,10063.722
02-01-2024 05:00:00,6376.96,18627.484,1672,10578.524
02-01-2024 06:00:00,6517.43,21125.949,2767,11841.519
02-01-2024 07:00:00,7401.14,22309.444,1514,13394.304
02-01-2024 08:00:00,12459.37,24426.489,2709,9258.119
02-01-2024 09:00:00,21443.95,25821.018,1979,2398.068
02-01-2024 10:00:00,28979.14,25718.372,2244,-5504.768
02-01-2024 11:00:00,35171.71,25809.125,1885,-11247.585
02-01-2024 12:00:00,38015.76,24889.387,2966,-16092.373
02-01-2024 13:00:00,39485.97,24507.223,2613,-17591.747
02-01-2024 14:00:00,36535.18,23725.41,2442,-15251.77
02-01-2024 15:00:00,28687.51,24220.434,2482,-6949.076
02-01-2024 16:00:00,17648.74,24167.225,2365,4153.485
02-01-2024 17:00:00,6144.17,23754.541,2069,15541.371
02-01-2024 18:00:00,4457.32,24900.936,2947,17496.616
02-01-2024 19:00:00,5807.39,22380.832,2963,13610.442
02-01-2024 20:00:00,6939.81,21323.302,1818,12565.492
02-01-2024 21:00:00,7759.1,22496.27,1687,13050.17
02-01-2024 22:00:00,7830.57,20552.049,2225,10496.479
02-01-2024 23:00:00,7458.16,20781.06,2781,10541.9
03-01-2024 00:00:00,7153.96,20194.3,1564,11476.34
03-01-2024 01:00:00,6766.96,18581.532,2862,8952.572
03-01-2024 02:00:00,6176.46,18371.028,2502,9692.568
03-01-2024 03:00:00,5897.75,19384.917,1678,11809.167
03-01-2024 04:00:00,5347.84,18989.824,2804,10837.984
03-01-2024 05:00:00,5212.01,19500.693,2794,11494.683
03-01-2024 06:00:00,5486.03,21257.911,2866,12905.881
03-01-2024 07:00:00,7046.84,23660.081,2436,14177.241
03-01-2024 08:00:00,13132.45,24398.204,2891,8374.754
03-01-2024 09:00:00,22501.65,25879.102,2014,1363.452
03-01-2024 10:00:00,30563.84,25122.81,1730,-7171.03
03-01-2024 11:00:00,37260.17,25934.907,1977,-13302.263
03-01-2024 12:00:00,39561.12,25400.612,1577,-15737.508
03-01-2024 13:00:00,38503.4,25247.972,2157,-15412.428
03-01-2024 14:00:00,34036.57,25259.952,2765,-11541.618
03-01-2024 15:00:00,26349.83,23966.546,2089,-4472.284
03-01-2024 16:00:00,16260.26,23391.651,2637,4494.391
03-01-2024 17:00:00,6307.21,23307.881,1930,15070.671
03-01-2024 18:00:00,4906.15,23692.771,1750,17036.621
03-01-2024 19:00:00,6005.33,23775.008,2098,15671.678
03-01-2024 20:00:00,7287.48,21546.04,1619,12639.56
03-01-2024 21:00:00,8045.73,20759.322,2247,10466.592
03-01-2024 22:00:00,8246,20800.319,1758,10796.319
03-01-2024 23:00:00,8355.03,20281.677,2525,9401.647
04-01-2024 00:00:00,8533.79,19377.774,2420,8423.984
04-01-2024 01:00:00,8778.81,18789.11,2551,7459.3
04-01-2024 02:00:00,8452.99,19569.802,2277,8839.812
04-01-2024 03:00:00,7888.3,18657.331,2171,8598.031
04-01-2024 04:00:00,7084.59,18091.757,1675,9332.167
04-01-2024 05:00:00,6703.58,19720.674,2226,10791.094
04-01-2024 06:00:00,6651.22,21604.118,1533,13419.898
04-01-2024 07:00:00,7927.4,23322.224,2154,13240.824
04-01-2024 08:00:00,12255.38,24675.451,2557,9863.071
04-01-2024 09:00:00,18565.65,25073.313,2020,4487.663
04-01-2024 10:00:00,25383.88,25201.865,1635,-1817.015
04-01-2024 11:00:00,31300.47,25691.013,1674,-7283.457
04-01-2024 12:00:00,35698.83,25376.279,2027,-12349.551
04-01-2024 13:00:00,36099.54,24319.894,2786,-14565.646
04-01-2024 14:00:00,32806.88,23061.847,2307,-12052.033
04-01-2024 15:00:00,25951.82,23245.314,2051,-4757.506
04-01-2024 16:00:00,16191.95,24894.721,2985,5717.771
04-01-2024 17:00:00,6758.89,23306.022,1995,14552.132
04-01-2024 18:00:00,4708.42,24715.491,2558,17449.071
04-01-2024 19:00:00,6171.26,22761.165,2668,13921.905
04-01-2024 20:00:00,7208.72,22016.419,2047,12760.699
04-01-2024 21:00:00,7383.87,21897.196,1636,12877.326
04-01-2024 22:00:00,7649.83,20606.05,1568,11388.22
04-01-2024 23:00:00,7598.46,20176.431,1850,10727.971
05-01-2024 00:00:00,7331.41,18997.896,2824,8842.486
